image,mask
training_data/images/real_0_34.jpg,training_data/masks/mask_0_34_0.jpg
training_data/images/real_0_34.jpg,training_data/masks/mask_0_34_1.jpg
training_data/images/real_0_35.jpg,training_data/masks/mask_0_35_0.jpg
training_data/images/real_0_35.jpg,training_data/masks/mask_0_35_1.jpg
training_data/images/real_0_36.jpg,training_data/masks/mask_0_36_0.jpg
training_data/images/real_0_36.jpg,training_data/masks/mask_0_36_1.jpg
training_data/images/real_0_37.jpg,training_data/masks/mask_0_37_0.jpg
training_data/images/real_0_37.jpg,training_data/masks/mask_0_37_1.jpg
training_data/images/real_0_38.jpg,training_data/masks/mask_0_38_0.jpg
training_data/images/real_0_38.jpg,training_data/masks/mask_0_38_1.jpg
training_data/images/real_0_39.jpg,training_data/masks/mask_0_39_0.jpg
training_data/images/real_0_39.jpg,training_data/masks/mask_0_39_1.jpg
training_data/images/real_0_40.jpg,training_data/masks/mask_0_40_0.jpg
training_data/images/real_0_41.jpg,training_data/masks/mask_0_41_0.jpg
training_data/images/real_0_41.jpg,training_data/masks/mask_0_41_1.jpg
training_data/images/real_0_42.jpg,training_data/masks/mask_0_42_0.jpg
training_data/images/real_0_42.jpg,training_data/masks/mask_0_42_1.jpg
training_data/images/real_0_43.jpg,training_data/masks/mask_0_43_0.jpg
training_data/images/real_0_43.jpg,training_data/masks/mask_0_43_1.jpg
training_data/images/real_0_44.jpg,training_data/masks/mask_0_44_0.jpg
training_data/images/real_0_44.jpg,training_data/masks/mask_0_44_1.jpg
training_data/images/real_0_45.jpg,training_data/masks/mask_0_45_0.jpg
training_data/images/real_0_45.jpg,training_data/masks/mask_0_45_1.jpg
training_data/images/real_0_46.jpg,training_data/masks/mask_0_46_0.jpg
training_data/images/real_0_46.jpg,training_data/masks/mask_0_46_1.jpg
training_data/images/real_0_47.jpg,training_data/masks/mask_0_47_0.jpg
training_data/images/real_0_47.jpg,training_data/masks/mask_0_47_1.jpg
training_data/images/real_0_48.jpg,training_data/masks/mask_0_48_0.jpg
training_data/images/real_0_48.jpg,training_data/masks/mask_0_48_1.jpg
training_data/images/real_0_49.jpg,training_data/masks/mask_0_49_0.jpg
training_data/images/real_0_49.jpg,training_data/masks/mask_0_49_1.jpg
training_data/images/real_0_50.jpg,training_data/masks/mask_0_50_0.jpg
training_data/images/real_0_50.jpg,training_data/masks/mask_0_50_1.jpg
training_data/images/real_0_51.jpg,training_data/masks/mask_0_51_0.jpg
training_data/images/real_0_51.jpg,training_data/masks/mask_0_51_1.jpg
training_data/images/real_0_52.jpg,training_data/masks/mask_0_52_0.jpg
training_data/images/real_0_53.jpg,training_data/masks/mask_0_53_0.jpg
training_data/images/real_0_53.jpg,training_data/masks/mask_0_53_1.jpg
training_data/images/real_0_54.jpg,training_data/masks/mask_0_54_0.jpg
training_data/images/real_0_54.jpg,training_data/masks/mask_0_54_1.jpg
training_data/images/real_0_55.jpg,training_data/masks/mask_0_55_0.jpg
training_data/images/real_0_55.jpg,training_data/masks/mask_0_55_1.jpg
training_data/images/real_0_56.jpg,training_data/masks/mask_0_56_0.jpg
training_data/images/real_0_56.jpg,training_data/masks/mask_0_56_1.jpg
training_data/images/real_0_57.jpg,training_data/masks/mask_0_57_0.jpg
training_data/images/real_0_57.jpg,training_data/masks/mask_0_57_1.jpg
training_data/images/real_1_9.jpg,training_data/masks/mask_1_9_0.jpg
training_data/images/real_1_9.jpg,training_data/masks/mask_1_9_1.jpg
training_data/images/real_1_10.jpg,training_data/masks/mask_1_10_0.jpg
training_data/images/real_1_10.jpg,training_data/masks/mask_1_10_1.jpg
training_data/images/real_1_11.jpg,training_data/masks/mask_1_11_0.jpg
training_data/images/real_1_11.jpg,training_data/masks/mask_1_11_1.jpg
training_data/images/real_1_12.jpg,training_data/masks/mask_1_12_0.jpg
training_data/images/real_1_12.jpg,training_data/masks/mask_1_12_1.jpg
training_data/images/real_1_13.jpg,training_data/masks/mask_1_13_0.jpg
training_data/images/real_1_13.jpg,training_data/masks/mask_1_13_1.jpg
training_data/images/real_1_14.jpg,training_data/masks/mask_1_14_0.jpg
training_data/images/real_1_14.jpg,training_data/masks/mask_1_14_1.jpg
training_data/images/real_1_15.jpg,training_data/masks/mask_1_15_0.jpg
training_data/images/real_1_15.jpg,training_data/masks/mask_1_15_1.jpg
training_data/images/real_1_16.jpg,training_data/masks/mask_1_16_0.jpg
training_data/images/real_1_16.jpg,training_data/masks/mask_1_16_1.jpg
training_data/images/real_1_17.jpg,training_data/masks/mask_1_17_0.jpg
training_data/images/real_1_18.jpg,training_data/masks/mask_1_18_0.jpg
training_data/images/real_1_18.jpg,training_data/masks/mask_1_18_1.jpg
training_data/images/real_1_19.jpg,training_data/masks/mask_1_19_0.jpg
training_data/images/real_1_19.jpg,training_data/masks/mask_1_19_1.jpg
training_data/images/real_1_20.jpg,training_data/masks/mask_1_20_0.jpg
training_data/images/real_1_20.jpg,training_data/masks/mask_1_20_1.jpg
training_data/images/real_1_21.jpg,training_data/masks/mask_1_21_0.jpg
training_data/images/real_1_21.jpg,training_data/masks/mask_1_21_1.jpg
training_data/images/real_1_22.jpg,training_data/masks/mask_1_22_0.jpg
training_data/images/real_1_22.jpg,training_data/masks/mask_1_22_1.jpg
training_data/images/real_1_23.jpg,training_data/masks/mask_1_23_0.jpg
training_data/images/real_1_23.jpg,training_data/masks/mask_1_23_1.jpg
training_data/images/real_1_24.jpg,training_data/masks/mask_1_24_0.jpg
training_data/images/real_1_24.jpg,training_data/masks/mask_1_24_1.jpg
training_data/images/real_1_25.jpg,training_data/masks/mask_1_25_0.jpg
training_data/images/real_1_25.jpg,training_data/masks/mask_1_25_1.jpg
training_data/images/real_1_26.jpg,training_data/masks/mask_1_26_0.jpg
training_data/images/real_1_26.jpg,training_data/masks/mask_1_26_1.jpg
training_data/images/real_1_27.jpg,training_data/masks/mask_1_27_0.jpg
training_data/images/real_1_27.jpg,training_data/masks/mask_1_27_1.jpg
training_data/images/real_1_28.jpg,training_data/masks/mask_1_28_0.jpg
training_data/images/real_1_28.jpg,training_data/masks/mask_1_28_1.jpg
training_data/images/real_1_29.jpg,training_data/masks/mask_1_29_0.jpg
training_data/images/real_1_30.jpg,training_data/masks/mask_1_30_0.jpg
training_data/images/real_1_30.jpg,training_data/masks/mask_1_30_1.jpg
training_data/images/real_1_31.jpg,training_data/masks/mask_1_31_0.jpg
training_data/images/real_1_31.jpg,training_data/masks/mask_1_31_1.jpg
training_data/images/real_1_32.jpg,training_data/masks/mask_1_32_0.jpg
training_data/images/real_1_32.jpg,training_data/masks/mask_1_32_1.jpg
training_data/images/real_1_33.jpg,training_data/masks/mask_1_33_0.jpg
training_data/images/real_1_33.jpg,training_data/masks/mask_1_33_1.jpg
training_data/images/real_1_34.jpg,training_data/masks/mask_1_34_0.jpg
training_data/images/real_1_34.jpg,training_data/masks/mask_1_34_1.jpg
training_data/images/real_1_35.jpg,training_data/masks/mask_1_35_0.jpg
training_data/images/real_1_35.jpg,training_data/masks/mask_1_35_1.jpg
training_data/images/real_1_36.jpg,training_data/masks/mask_1_36_0.jpg
training_data/images/real_1_36.jpg,training_data/masks/mask_1_36_1.jpg
training_data/images/real_1_37.jpg,training_data/masks/mask_1_37_0.jpg
training_data/images/real_1_37.jpg,training_data/masks/mask_1_37_1.jpg
training_data/images/real_1_38.jpg,training_data/masks/mask_1_38_0.jpg
training_data/images/real_1_38.jpg,training_data/masks/mask_1_38_1.jpg
training_data/images/real_1_39.jpg,training_data/masks/mask_1_39_0.jpg
training_data/images/real_1_39.jpg,training_data/masks/mask_1_39_1.jpg
training_data/images/real_1_40.jpg,training_data/masks/mask_1_40_0.jpg
training_data/images/real_1_41.jpg,training_data/masks/mask_1_41_0.jpg
training_data/images/real_1_41.jpg,training_data/masks/mask_1_41_1.jpg
training_data/images/real_1_42.jpg,training_data/masks/mask_1_42_0.jpg
training_data/images/real_1_42.jpg,training_data/masks/mask_1_42_1.jpg
training_data/images/real_1_43.jpg,training_data/masks/mask_1_43_0.jpg
training_data/images/real_1_43.jpg,training_data/masks/mask_1_43_1.jpg
training_data/images/real_1_44.jpg,training_data/masks/mask_1_44_0.jpg
training_data/images/real_1_44.jpg,training_data/masks/mask_1_44_1.jpg
training_data/images/real_1_45.jpg,training_data/masks/mask_1_45_0.jpg
training_data/images/real_1_45.jpg,training_data/masks/mask_1_45_1.jpg
training_data/images/real_1_46.jpg,training_data/masks/mask_1_46_0.jpg
training_data/images/real_1_46.jpg,training_data/masks/mask_1_46_1.jpg
training_data/images/real_1_47.jpg,training_data/masks/mask_1_47_0.jpg
training_data/images/real_1_47.jpg,training_data/masks/mask_1_47_1.jpg
training_data/images/real_1_48.jpg,training_data/masks/mask_1_48_0.jpg
training_data/images/real_1_48.jpg,training_data/masks/mask_1_48_1.jpg
training_data/images/real_1_49.jpg,training_data/masks/mask_1_49_0.jpg
training_data/images/real_1_49.jpg,training_data/masks/mask_1_49_1.jpg
training_data/images/real_1_50.jpg,training_data/masks/mask_1_50_0.jpg
training_data/images/real_1_50.jpg,training_data/masks/mask_1_50_1.jpg
training_data/images/real_1_51.jpg,training_data/masks/mask_1_51_0.jpg
training_data/images/real_1_51.jpg,training_data/masks/mask_1_51_1.jpg
training_data/images/real_1_52.jpg,training_data/masks/mask_1_52_0.jpg
training_data/images/real_1_53.jpg,training_data/masks/mask_1_53_0.jpg
training_data/images/real_1_53.jpg,training_data/masks/mask_1_53_1.jpg
training_data/images/real_1_54.jpg,training_data/masks/mask_1_54_0.jpg
training_data/images/real_1_54.jpg,training_data/masks/mask_1_54_1.jpg
training_data/images/real_1_55.jpg,training_data/masks/mask_1_55_0.jpg
training_data/images/real_1_55.jpg,training_data/masks/mask_1_55_1.jpg
training_data/images/real_1_56.jpg,training_data/masks/mask_1_56_0.jpg
training_data/images/real_1_56.jpg,training_data/masks/mask_1_56_1.jpg
training_data/images/real_1_57.jpg,training_data/masks/mask_1_57_0.jpg
training_data/images/real_1_57.jpg,training_data/masks/mask_1_57_1.jpg
training_data/images/real_2_9.jpg,training_data/masks/mask_2_9_0.jpg
training_data/images/real_2_9.jpg,training_data/masks/mask_2_9_1.jpg
training_data/images/real_2_10.jpg,training_data/masks/mask_2_10_0.jpg
training_data/images/real_2_10.jpg,training_data/masks/mask_2_10_1.jpg
training_data/images/real_2_11.jpg,training_data/masks/mask_2_11_0.jpg
training_data/images/real_2_11.jpg,training_data/masks/mask_2_11_1.jpg
training_data/images/real_2_12.jpg,training_data/masks/mask_2_12_0.jpg
training_data/images/real_2_12.jpg,training_data/masks/mask_2_12_1.jpg
training_data/images/real_2_13.jpg,training_data/masks/mask_2_13_0.jpg
training_data/images/real_2_13.jpg,training_data/masks/mask_2_13_1.jpg
training_data/images/real_2_14.jpg,training_data/masks/mask_2_14_0.jpg
training_data/images/real_2_14.jpg,training_data/masks/mask_2_14_1.jpg
training_data/images/real_2_15.jpg,training_data/masks/mask_2_15_0.jpg
training_data/images/real_2_15.jpg,training_data/masks/mask_2_15_1.jpg
training_data/images/real_2_16.jpg,training_data/masks/mask_2_16_0.jpg
training_data/images/real_2_16.jpg,training_data/masks/mask_2_16_1.jpg
training_data/images/real_2_17.jpg,training_data/masks/mask_2_17_0.jpg
training_data/images/real_2_18.jpg,training_data/masks/mask_2_18_0.jpg
training_data/images/real_2_18.jpg,training_data/masks/mask_2_18_1.jpg
training_data/images/real_2_19.jpg,training_data/masks/mask_2_19_0.jpg
training_data/images/real_2_19.jpg,training_data/masks/mask_2_19_1.jpg
training_data/images/real_2_20.jpg,training_data/masks/mask_2_20_0.jpg
training_data/images/real_2_20.jpg,training_data/masks/mask_2_20_1.jpg
training_data/images/real_2_21.jpg,training_data/masks/mask_2_21_0.jpg
training_data/images/real_2_21.jpg,training_data/masks/mask_2_21_1.jpg
training_data/images/real_2_22.jpg,training_data/masks/mask_2_22_0.jpg
training_data/images/real_2_22.jpg,training_data/masks/mask_2_22_1.jpg
training_data/images/real_2_23.jpg,training_data/masks/mask_2_23_0.jpg
training_data/images/real_2_23.jpg,training_data/masks/mask_2_23_1.jpg
training_data/images/real_2_24.jpg,training_data/masks/mask_2_24_0.jpg
training_data/images/real_2_24.jpg,training_data/masks/mask_2_24_1.jpg
training_data/images/real_2_25.jpg,training_data/masks/mask_2_25_0.jpg
training_data/images/real_2_25.jpg,training_data/masks/mask_2_25_1.jpg
training_data/images/real_2_26.jpg,training_data/masks/mask_2_26_0.jpg
training_data/images/real_2_26.jpg,training_data/masks/mask_2_26_1.jpg
training_data/images/real_2_27.jpg,training_data/masks/mask_2_27_0.jpg
training_data/images/real_2_27.jpg,training_data/masks/mask_2_27_1.jpg
training_data/images/real_2_28.jpg,training_data/masks/mask_2_28_0.jpg
training_data/images/real_2_28.jpg,training_data/masks/mask_2_28_1.jpg
training_data/images/real_2_29.jpg,training_data/masks/mask_2_29_0.jpg
training_data/images/real_2_30.jpg,training_data/masks/mask_2_30_0.jpg
training_data/images/real_2_30.jpg,training_data/masks/mask_2_30_1.jpg
training_data/images/real_2_31.jpg,training_data/masks/mask_2_31_0.jpg
training_data/images/real_2_31.jpg,training_data/masks/mask_2_31_1.jpg
training_data/images/real_2_32.jpg,training_data/masks/mask_2_32_0.jpg
training_data/images/real_2_32.jpg,training_data/masks/mask_2_32_1.jpg
training_data/images/real_2_33.jpg,training_data/masks/mask_2_33_0.jpg
training_data/images/real_2_33.jpg,training_data/masks/mask_2_33_1.jpg
training_data/images/real_2_34.jpg,training_data/masks/mask_2_34_0.jpg
training_data/images/real_2_34.jpg,training_data/masks/mask_2_34_1.jpg
training_data/images/real_2_35.jpg,training_data/masks/mask_2_35_0.jpg
training_data/images/real_2_35.jpg,training_data/masks/mask_2_35_1.jpg
training_data/images/real_2_36.jpg,training_data/masks/mask_2_36_0.jpg
training_data/images/real_2_36.jpg,training_data/masks/mask_2_36_1.jpg
training_data/images/real_2_37.jpg,training_data/masks/mask_2_37_0.jpg
training_data/images/real_2_37.jpg,training_data/masks/mask_2_37_1.jpg
training_data/images/real_2_38.jpg,training_data/masks/mask_2_38_0.jpg
training_data/images/real_2_38.jpg,training_data/masks/mask_2_38_1.jpg
training_data/images/real_2_39.jpg,training_data/masks/mask_2_39_0.jpg
training_data/images/real_2_39.jpg,training_data/masks/mask_2_39_1.jpg
training_data/images/real_2_40.jpg,training_data/masks/mask_2_40_0.jpg
training_data/images/real_2_41.jpg,training_data/masks/mask_2_41_0.jpg
training_data/images/real_2_41.jpg,training_data/masks/mask_2_41_1.jpg
training_data/images/real_2_42.jpg,training_data/masks/mask_2_42_0.jpg
training_data/images/real_2_42.jpg,training_data/masks/mask_2_42_1.jpg
training_data/images/real_2_43.jpg,training_data/masks/mask_2_43_0.jpg
training_data/images/real_2_43.jpg,training_data/masks/mask_2_43_1.jpg
training_data/images/real_2_44.jpg,training_data/masks/mask_2_44_0.jpg
training_data/images/real_2_44.jpg,training_data/masks/mask_2_44_1.jpg
training_data/images/real_2_45.jpg,training_data/masks/mask_2_45_0.jpg
training_data/images/real_2_45.jpg,training_data/masks/mask_2_45_1.jpg
training_data/images/real_2_46.jpg,training_data/masks/mask_2_46_0.jpg
training_data/images/real_2_46.jpg,training_data/masks/mask_2_46_1.jpg
training_data/images/real_2_47.jpg,training_data/masks/mask_2_47_0.jpg
training_data/images/real_2_47.jpg,training_data/masks/mask_2_47_1.jpg
training_data/images/real_2_48.jpg,training_data/masks/mask_2_48_0.jpg
training_data/images/real_2_48.jpg,training_data/masks/mask_2_48_1.jpg
training_data/images/real_2_49.jpg,training_data/masks/mask_2_49_0.jpg
training_data/images/real_2_49.jpg,training_data/masks/mask_2_49_1.jpg
training_data/images/real_2_50.jpg,training_data/masks/mask_2_50_0.jpg
training_data/images/real_2_50.jpg,training_data/masks/mask_2_50_1.jpg
training_data/images/real_2_51.jpg,training_data/masks/mask_2_51_0.jpg
training_data/images/real_2_51.jpg,training_data/masks/mask_2_51_1.jpg
training_data/images/real_2_52.jpg,training_data/masks/mask_2_52_0.jpg
training_data/images/real_2_53.jpg,training_data/masks/mask_2_53_0.jpg
training_data/images/real_2_53.jpg,training_data/masks/mask_2_53_1.jpg
training_data/images/real_2_54.jpg,training_data/masks/mask_2_54_0.jpg
training_data/images/real_2_54.jpg,training_data/masks/mask_2_54_1.jpg
training_data/images/real_2_55.jpg,training_data/masks/mask_2_55_0.jpg
training_data/images/real_2_55.jpg,training_data/masks/mask_2_55_1.jpg
training_data/images/real_2_56.jpg,training_data/masks/mask_2_56_0.jpg
training_data/images/real_2_56.jpg,training_data/masks/mask_2_56_1.jpg
training_data/images/real_2_57.jpg,training_data/masks/mask_2_57_0.jpg
training_data/images/real_2_57.jpg,training_data/masks/mask_2_57_1.jpg
training_data/images/real_3_9.jpg,training_data/masks/mask_3_9_0.jpg
training_data/images/real_3_9.jpg,training_data/masks/mask_3_9_1.jpg
training_data/images/real_3_10.jpg,training_data/masks/mask_3_10_0.jpg
training_data/images/real_3_10.jpg,training_data/masks/mask_3_10_1.jpg
training_data/images/real_3_11.jpg,training_data/masks/mask_3_11_0.jpg
training_data/images/real_3_11.jpg,training_data/masks/mask_3_11_1.jpg
training_data/images/real_3_12.jpg,training_data/masks/mask_3_12_0.jpg
training_data/images/real_3_12.jpg,training_data/masks/mask_3_12_1.jpg
training_data/images/real_3_13.jpg,training_data/masks/mask_3_13_0.jpg
training_data/images/real_3_13.jpg,training_data/masks/mask_3_13_1.jpg
training_data/images/real_3_14.jpg,training_data/masks/mask_3_14_0.jpg
training_data/images/real_3_14.jpg,training_data/masks/mask_3_14_1.jpg
training_data/images/real_3_15.jpg,training_data/masks/mask_3_15_0.jpg
training_data/images/real_3_15.jpg,training_data/masks/mask_3_15_1.jpg
training_data/images/real_3_16.jpg,training_data/masks/mask_3_16_0.jpg
training_data/images/real_3_16.jpg,training_data/masks/mask_3_16_1.jpg
training_data/images/real_3_17.jpg,training_data/masks/mask_3_17_0.jpg
training_data/images/real_3_18.jpg,training_data/masks/mask_3_18_0.jpg
training_data/images/real_3_18.jpg,training_data/masks/mask_3_18_1.jpg
training_data/images/real_3_19.jpg,training_data/masks/mask_3_19_0.jpg
training_data/images/real_3_19.jpg,training_data/masks/mask_3_19_1.jpg
training_data/images/real_3_20.jpg,training_data/masks/mask_3_20_0.jpg
training_data/images/real_3_20.jpg,training_data/masks/mask_3_20_1.jpg
training_data/images/real_3_21.jpg,training_data/masks/mask_3_21_0.jpg
training_data/images/real_3_21.jpg,training_data/masks/mask_3_21_1.jpg
training_data/images/real_3_22.jpg,training_data/masks/mask_3_22_0.jpg
training_data/images/real_3_22.jpg,training_data/masks/mask_3_22_1.jpg
training_data/images/real_3_23.jpg,training_data/masks/mask_3_23_0.jpg
training_data/images/real_3_23.jpg,training_data/masks/mask_3_23_1.jpg
training_data/images/real_3_24.jpg,training_data/masks/mask_3_24_0.jpg
training_data/images/real_3_24.jpg,training_data/masks/mask_3_24_1.jpg
training_data/images/real_3_25.jpg,training_data/masks/mask_3_25_0.jpg
training_data/images/real_3_25.jpg,training_data/masks/mask_3_25_1.jpg
training_data/images/real_3_26.jpg,training_data/masks/mask_3_26_0.jpg
training_data/images/real_3_26.jpg,training_data/masks/mask_3_26_1.jpg
training_data/images/real_3_27.jpg,training_data/masks/mask_3_27_0.jpg
training_data/images/real_3_27.jpg,training_data/masks/mask_3_27_1.jpg
training_data/images/real_3_28.jpg,training_data/masks/mask_3_28_0.jpg
training_data/images/real_3_28.jpg,training_data/masks/mask_3_28_1.jpg
training_data/images/real_3_29.jpg,training_data/masks/mask_3_29_0.jpg
training_data/images/real_3_30.jpg,training_data/masks/mask_3_30_0.jpg
training_data/images/real_3_30.jpg,training_data/masks/mask_3_30_1.jpg
training_data/images/real_3_31.jpg,training_data/masks/mask_3_31_0.jpg
training_data/images/real_3_31.jpg,training_data/masks/mask_3_31_1.jpg
training_data/images/real_3_32.jpg,training_data/masks/mask_3_32_0.jpg
training_data/images/real_3_32.jpg,training_data/masks/mask_3_32_1.jpg
training_data/images/real_3_33.jpg,training_data/masks/mask_3_33_0.jpg
training_data/images/real_3_33.jpg,training_data/masks/mask_3_33_1.jpg
training_data/images/real_3_34.jpg,training_data/masks/mask_3_34_0.jpg
training_data/images/real_3_34.jpg,training_data/masks/mask_3_34_1.jpg
training_data/images/real_3_35.jpg,training_data/masks/mask_3_35_0.jpg
training_data/images/real_3_35.jpg,training_data/masks/mask_3_35_1.jpg
training_data/images/real_3_36.jpg,training_data/masks/mask_3_36_0.jpg
training_data/images/real_3_36.jpg,training_data/masks/mask_3_36_1.jpg
training_data/images/real_3_37.jpg,training_data/masks/mask_3_37_0.jpg
training_data/images/real_3_37.jpg,training_data/masks/mask_3_37_1.jpg
training_data/images/real_3_38.jpg,training_data/masks/mask_3_38_0.jpg
training_data/images/real_3_38.jpg,training_data/masks/mask_3_38_1.jpg
training_data/images/real_3_39.jpg,training_data/masks/mask_3_39_0.jpg
training_data/images/real_3_39.jpg,training_data/masks/mask_3_39_1.jpg
training_data/images/real_3_40.jpg,training_data/masks/mask_3_40_0.jpg
training_data/images/real_3_41.jpg,training_data/masks/mask_3_41_0.jpg
training_data/images/real_3_41.jpg,training_data/masks/mask_3_41_1.jpg
training_data/images/real_3_42.jpg,training_data/masks/mask_3_42_0.jpg
training_data/images/real_3_42.jpg,training_data/masks/mask_3_42_1.jpg
training_data/images/real_3_43.jpg,training_data/masks/mask_3_43_0.jpg
training_data/images/real_3_43.jpg,training_data/masks/mask_3_43_1.jpg
training_data/images/real_3_44.jpg,training_data/masks/mask_3_44_0.jpg
training_data/images/real_3_44.jpg,training_data/masks/mask_3_44_1.jpg
training_data/images/real_3_45.jpg,training_data/masks/mask_3_45_0.jpg
training_data/images/real_3_45.jpg,training_data/masks/mask_3_45_1.jpg
training_data/images/real_3_46.jpg,training_data/masks/mask_3_46_0.jpg
training_data/images/real_3_46.jpg,training_data/masks/mask_3_46_1.jpg
training_data/images/real_3_47.jpg,training_data/masks/mask_3_47_0.jpg
training_data/images/real_3_47.jpg,training_data/masks/mask_3_47_1.jpg
training_data/images/real_3_48.jpg,training_data/masks/mask_3_48_0.jpg
training_data/images/real_3_48.jpg,training_data/masks/mask_3_48_1.jpg
training_data/images/real_3_49.jpg,training_data/masks/mask_3_49_0.jpg
training_data/images/real_3_49.jpg,training_data/masks/mask_3_49_1.jpg
training_data/images/real_3_50.jpg,training_data/masks/mask_3_50_0.jpg
training_data/images/real_3_50.jpg,training_data/masks/mask_3_50_1.jpg
training_data/images/real_3_51.jpg,training_data/masks/mask_3_51_0.jpg
training_data/images/real_3_51.jpg,training_data/masks/mask_3_51_1.jpg
training_data/images/real_3_52.jpg,training_data/masks/mask_3_52_0.jpg
training_data/images/real_3_53.jpg,training_data/masks/mask_3_53_0.jpg
training_data/images/real_3_53.jpg,training_data/masks/mask_3_53_1.jpg
training_data/images/real_3_54.jpg,training_data/masks/mask_3_54_0.jpg
training_data/images/real_3_54.jpg,training_data/masks/mask_3_54_1.jpg
training_data/images/real_3_55.jpg,training_data/masks/mask_3_55_0.jpg
training_data/images/real_3_55.jpg,training_data/masks/mask_3_55_1.jpg
training_data/images/real_3_56.jpg,training_data/masks/mask_3_56_0.jpg
training_data/images/real_3_56.jpg,training_data/masks/mask_3_56_1.jpg
training_data/images/real_3_57.jpg,training_data/masks/mask_3_57_0.jpg
training_data/images/real_3_57.jpg,training_data/masks/mask_3_57_1.jpg
training_data/images/real_4_9.jpg,training_data/masks/mask_4_9_0.jpg
training_data/images/real_4_9.jpg,training_data/masks/mask_4_9_1.jpg
training_data/images/real_4_10.jpg,training_data/masks/mask_4_10_0.jpg
training_data/images/real_4_10.jpg,training_data/masks/mask_4_10_1.jpg
training_data/images/real_4_11.jpg,training_data/masks/mask_4_11_0.jpg
training_data/images/real_4_11.jpg,training_data/masks/mask_4_11_1.jpg
training_data/images/real_4_12.jpg,training_data/masks/mask_4_12_0.jpg
training_data/images/real_4_12.jpg,training_data/masks/mask_4_12_1.jpg
training_data/images/real_4_13.jpg,training_data/masks/mask_4_13_0.jpg
training_data/images/real_4_13.jpg,training_data/masks/mask_4_13_1.jpg
training_data/images/real_4_14.jpg,training_data/masks/mask_4_14_0.jpg
training_data/images/real_4_14.jpg,training_data/masks/mask_4_14_1.jpg
